keyword	day	clicks	pis	cpc	leads	sales	umsatz	cpo	cpl	scr	lcr	ka	ctr	cost	Nday
modetrends fruehjahr	2006-01-27	0	1	0	0	0	0	0	0	0	0	0	0	0	13175
modetrends fruehjahr	2006-02-05	0	5	0	0	0	0	0	0	0	0	0	0	0	13184
modetrends fruehjahr	2006-02-07	0	1	0	0	0	0	0	0	0	0	0	0	0	13186
modetrends fruehling	2006-01-23	0	4	0	0	0	0	0	0	0	0	0	0	0	13171
modetrends fruehling	2006-01-27	0	5	0	0	0	0	0	0	0	0	0	0	0	13175
modetrends fruehling	2006-03-02	0	3	0	0	0	0	0	0	0	0	0	0	0	13209
modetrends fruehling	2006-05-01	0	1	0	0	0	0	0	0	0	0	0	0	0	13269
modetrends fruehling	2006-01-12	0	1	0	0	0	0	0	0	0	0	0	0	0	13160
modetrends fruehling	2006-04-27	0	1	0	0	0	0	0	0	0	0	0	0	0	13265
modetrends fruehling	2006-04-23	0	1	0	0	0	0	0	0	0	0	0	0	0	13261
modetrends fruehling	2006-01-28	0	2	0	0	0	0	0	0	0	0	0	0	0	13176
modetrends fruehling	2006-01-05	1	1	0.29	0	0	0	0	0	0	0	0	1	0.29	13153
modetrends fruehling	2006-01-26	0	6	0	0	0	0	0	0	0	0	0	0	0	13174
modetrends fruehling	2006-02-13	0	3	0	0	0	0	0	0	0	0	0	0	0	13192
modetrends fruehling	2006-01-13	0	2	0	0	0	0	0	0	0	0	0	0	0	13161
modetrends fruehling	2006-01-14	0	1	0	0	0	0	0	0	0	0	0	0	0	13162
modetrends fruehling	2006-02-01	0	7	0	0	0	0	0	0	0	0	0	0	0	13180
modetrends fruehling	2006-02-23	0	3	0	0	0	0	0	0	0	0	0	0	0	13202
modetrends fruehling	2006-03-01	0	1	0	0	0	0	0	0	0	0	0	0	0	13208
modetrends fruehling	2006-02-28	0	1	0	0	0	0	0	0	0	0	0	0	0	13207
modetrends fruehling	2006-01-31	0	13	0	0	0	0	0	0	0	0	0	0	0	13179
modetrends fruehling	2006-01-30	0	9	0	0	0	0	0	0	0	0	0	0	0	13178
modetrends fruehling	2006-02-02	0	8	0	0	0	0	0	0	0	0	0	0	0	13181
modetrends fruehling	2006-02-05	0	6	0	0	0	0	0	0	0	0	0	0	0	13184
modetrends fruehling	2006-01-21	0	2	0	0	0	0	0	0	0	0	0	0	0	13169
modetrends fruehling	2006-04-08	0	1	0	0	0	0	0	0	0	0	0	0	0	13246
modetrends fruehling	2006-02-22	0	4	0	0	0	0	0	0	0	0	0	0	0	13201
modetrends fruehling	2006-01-29	0	4	0	0	0	0	0	0	0	0	0	0	0	13177
modetrends fruehling	2006-04-20	0	3	0	0	0	0	0	0	0	0	0	0	0	13258
modetrends fruehling	2006-04-25	0	1	0	0	0	0	0	0	0	0	0	0	0	13263
modetrends fruehling	2006-03-03	0	2	0	0	0	0	0	0	0	0	0	0	0	13210
modetrends fruehling	2006-04-02	0	1	0	0	0	0	0	0	0	0	0	0	0	13240
modetrends fruehling	2006-03-04	0	2	0	0	0	0	0	0	0	0	0	0	0	13211
modetrends fruehling	2006-03-11	0	1	0	0	0	0	0	0	0	0	0	0	0	13218
modetrends fruehling	2006-03-13	0	2	0	0	0	0	0	0	0	0	0	0	0	13220
modetrends fruehling	2006-03-15	0	1	0	0	0	0	0	0	0	0	0	0	0	13222
modetrends fruehling	2006-03-17	0	1	0	0	0	0	0	0	0	0	0	0	0	13224
modetrends fruehling	2006-03-23	0	3	0	0	0	0	0	0	0	0	0	0	0	13230
modetrends fruehling	2006-03-24	0	1	0	0	0	0	0	0	0	0	0	0	0	13231
modetrends fruehling	2006-04-05	0	2	0	0	0	0	0	0	0	0	0	0	0	13243
modetrends fruehling	2006-02-03	0	2	0	0	0	0	0	0	0	0	0	0	0	13182
modetrends fruehling	2006-04-28	0	1	0	0	0	0	0	0	0	0	0	0	0	13266
modetrends fruehling	2006-02-07	0	4	0	0	0	0	0	0	0	0	0	0	0	13186
modetrends fruehling	2006-02-08	0	5	0	0	0	0	0	0	0	0	0	0	0	13187
modetrends fruehling	2006-05-02	0	1	0	0	0	0	0	0	0	0	0	0	0	13270
modetrends fruehling	2006-01-24	0	11	0	0	0	0	0	0	0	0	0	0	0	13172
modetrends fruehling	2006-02-15	0	2	0	0	0	0	0	0	0	0	0	0	0	13194
modetrends fruehling	2006-01-07	0	1	0	0	0	0	0	0	0	0	0	0	0	13155
modetrends fruehling	2006-01-08	0	3	0	0	0	0	0	0	0	0	0	0	0	13156
modetrends fruehling	2006-02-10	0	2	0	0	0	0	0	0	0	0	0	0	0	13189
modetrends fruehling	2006-02-04	0	1	0	0	0	0	0	0	0	0	0	0	0	13183
modetrends fruehling	2006-01-15	0	4	0	0	0	0	0	0	0	0	0	0	0	13163
modetrends fruehling	2006-01-16	0	4	0	0	0	0	0	0	0	0	0	0	0	13164
modetrends fruehling	2006-02-16	0	1	0	0	0	0	0	0	0	0	0	0	0	13195
modetrends fruehling	2006-04-10	0	1	0	0	0	0	0	0	0	0	0	0	0	13248
modetrends fruehling	2006-03-31	0	1	0	0	0	0	0	0	0	0	0	0	0	13238
modetrends fruehling	2006-04-19	0	1	0	0	0	0	0	0	0	0	0	0	0	13257
modetrends fruehling	2006-01-09	0	3	0	0	0	0	0	0	0	0	0	0	0	13157
modetrends fruehling	2006-04-12	0	4	0	0	0	0	0	0	0	0	0	0	0	13250
modetrends fruehling	2006-01-25	0	2	0	0	0	0	0	0	0	0	0	0	0	13173
modetrends fruehling	2006-04-13	0	2	0	0	0	0	0	0	0	0	0	0	0	13251
modetrends fruehling	2006-01-10	0	3	0	0	0	0	0	0	0	0	0	0	0	13158
modetrends fruehling	2006-02-27	0	2	0	0	0	0	0	0	0	0	0	0	0	13206
modetrends fruehling	2006-01-17	0	3	0	0	0	0	0	0	0	0	0	0	0	13165
modetrends fruehling	2006-01-18	0	4	0	0	0	0	0	0	0	0	0	0	0	13166
modetrends fruehling	2006-02-14	0	5	0	0	0	0	0	0	0	0	0	0	0	13193
modetrends fruehling	2006-02-17	0	2	0	0	0	0	0	0	0	0	0	0	0	13196
modetrends fruehling	2006-02-12	0	10	0	0	0	0	0	0	0	0	0	0	0	13191
modetrends fruehling	2006-01-22	0	1	0	0	0	0	0	0	0	0	0	0	0	13170
modetrends fruehling	2006-04-24	0	1	0	0	0	0	0	0	0	0	0	0	0	13262
modetrends fruehling	2006-02-20	0	1	0	0	0	0	0	0	0	0	0	0	0	13199
modetrends fruehling	2006-03-29	0	3	0	0	0	0	0	0	0	0	0	0	0	13236
modetrends fruehling	2006-02-06	0	1	0	0	0	0	0	0	0	0	0	0	0	13185
modetrends fruehling	2006-01-19	0	1	0	0	0	0	0	0	0	0	0	0	0	13167
modetrends fruehling	2006-01-20	0	4	0	0	0	0	0	0	0	0	0	0	0	13168
AnzeigenKeyword5	2006-04-12	0	23	0	0	0	0	0	0	0	0	0	0	0	13250
AnzeigenKeyword5	2006-04-29	0	28	0	0	0	0	0	0	0	0	0	0	0	13267
AnzeigenKeyword5	2006-02-13	0	28	0	0	0	0	0	0	0	0	0	0	0	13192
AnzeigenKeyword5	2006-03-15	0	6	0	0	0	0	0	0	0	0	0	0	0	13222
AnzeigenKeyword5	2006-04-22	0	27	0	0	0	0	0	0	0	0	0	0	0	13260
AnzeigenKeyword5	2006-02-06	0	22	0	0	0	0	0	0	0	0	0	0	0	13185
AnzeigenKeyword5	2006-01-29	0	56	0	0	0	0	0	0	0	0	0	0	0	13177
AnzeigenKeyword5	2006-02-15	0	41	0	0	0	0	0	0	0	0	0	0	0	13194
AnzeigenKeyword5	2006-03-01	0	64	0	0	0	0	0	0	0	0	0	0	0	13208
AnzeigenKeyword5	2006-04-14	0	10	0	0	0	0	0	0	0	0	0	0	0	13252
AnzeigenKeyword5	2006-04-25	0	24	0	0	0	0	0	0	0	0	0	0	0	13263
AnzeigenKeyword5	2006-01-26	0	114	0	0	0	0	0	0	0	0	0	0	0	13174
AnzeigenKeyword5	2006-04-03	0	32	0	0	0	0	0	0	0	0	0	0	0	13241
AnzeigenKeyword5	2006-04-02	0	56	0	0	0	0	0	0	0	0	0	0	0	13240
AnzeigenKeyword5	2006-02-07	0	15	0	0	0	0	0	0	0	0	0	0	0	13186
AnzeigenKeyword5	2006-03-16	0	4	0	0	0	0	0	0	0	0	0	0	0	13223
AnzeigenKeyword5	2006-03-17	0	2	0	0	0	0	0	0	0	0	0	0	0	13224
AnzeigenKeyword5	2006-03-18	0	1	0	0	0	0	0	0	0	0	0	0	0	13225
AnzeigenKeyword5	2006-03-19	0	2	0	0	0	0	0	0	0	0	0	0	0	13226
AnzeigenKeyword5	2006-03-20	0	17	0	0	0	0	0	0	0	0	0	0	0	13227
AnzeigenKeyword5	2006-03-21	0	21	0	0	0	0	0	0	0	0	0	0	0	13228
AnzeigenKeyword5	2006-03-22	0	42	0	0	0	0	0	0	0	0	0	0	0	13229
AnzeigenKeyword5	2006-03-23	0	52	0	0	0	0	0	0	0	0	0	0	0	13230
AnzeigenKeyword5	2006-03-24	0	8	0	0	0	0	0	0	0	0	0	0	0	13231
AnzeigenKeyword5	2006-03-25	0	4	0	0	0	0	0	0	0	0	0	0	0	13232
AnzeigenKeyword5	2006-01-22	0	24	0	0	0	0	0	0	0	0	0	0	0	13170
AnzeigenKeyword5	2006-02-08	0	28	0	0	0	0	0	0	0	0	0	0	0	13187
AnzeigenKeyword5	2006-04-23	0	24	0	0	0	0	0	0	0	0	0	0	0	13261
AnzeigenKeyword5	2006-04-04	0	66	0	0	0	0	0	0	0	0	0	0	0	13242
AnzeigenKeyword5	2006-04-11	0	6	0	0	0	0	0	0	0	0	0	0	0	13249
AnzeigenKeyword5	2006-02-18	0	42	0	0	0	0	0	0	0	0	0	0	0	13197
AnzeigenKeyword5	2006-01-27	0	38	0	0	0	0	0	0	0	0	0	0	0	13175
AnzeigenKeyword5	2006-02-09	0	18	0	0	0	0	0	0	0	0	0	0	0	13188
AnzeigenKeyword5	2006-02-28	0	92	0	0	0	0	0	0	0	0	0	0	0	13207
AnzeigenKeyword5	2006-02-23	0	82	0	0	0	0	0	0	0	0	0	0	0	13202
AnzeigenKeyword5	2006-01-30	0	112	0	0	0	0	0	0	0	0	0	0	0	13178
AnzeigenKeyword5	2006-02-26	0	43	0	0	0	0	0	0	0	0	0	0	0	13205
AnzeigenKeyword5	2006-05-08	0	5	0	0	0	0	0	0	0	0	0	0	0	13276
AnzeigenKeyword5	2006-02-16	0	22	0	0	0	0	0	0	0	0	0	0	0	13195
AnzeigenKeyword5	2006-04-21	0	26	0	0	0	0	0	0	0	0	0	0	0	13259
AnzeigenKeyword5	2006-05-06	0	5	0	0	0	0	0	0	0	0	0	0	0	13274
AnzeigenKeyword5	2006-01-17	0	15	0	0	0	0	0	0	0	0	0	0	0	13165
AnzeigenKeyword5	2006-01-18	0	21	0	0	0	0	0	0	0	0	0	0	0	13166
AnzeigenKeyword5	2006-02-19	0	16	0	0	0	0	0	0	0	0	0	0	0	13198
